interaction_id,customer_id,channel,interaction_type,interaction_date,campaign_id,duration_seconds,outcome,source_system
INT000056,C00039,app,email_open,2024-04-29 00:00:00,,1710,no_response,SFDC
INT000057,C00175,phone,email_click,2022-05-06 00:00:00,,908,,MC
INT000058,C00310,email,email_click,2023-04-27 00:00:00,,436,interested,LEGACY
INT000059,C00315,whatsapp,chat,2023-12-28 00:00:00,,1000,,SFDC
INT000060,C00305,email,email_open,2023-06-29 00:00:00,,1476,no_response,LEGACY
INT000061,C00204,email,email_open,2023-11-26 00:00:00,,1633,,MC
INT000062,C00168,dealership,email_click,2024-04-25 00:00:00,,1688,,SFDC
INT000063,C00016,phone,email_click,2023-06-30 00:00:00,,241,interested,SFDC
INT000064,C00140,app,call,2022-10-27 00:00:00,,1465,no_response,MC
INT000065,C00231,dealership,chat,2023-04-08 00:00:00,CAM015,1525,interested,MC
INT000066,C00252,dealership,visit,2023-09-28 00:00:00,CAM006,1058,interested,MC
INT000067,C00117,app,chat,2023-01-12 00:00:00,,1281,not_interested,MC
INT000068,C00183,email,email_open,2024-03-30 00:00:00,CAM014,401,interested,LEGACY
INT000069,C00284,email,call,2023-11-21 00:00:00,,416,interested,SFDC
INT000070,C00193,phone,email_click,2023-12-11 00:00:00,CAM019,1780,not_interested,SFDC
INT000071,C00222,email,visit,2024-04-08 00:00:00,,1240,interested,MC
INT000072,C00096,dealership,email_open,2022-03-09 00:00:00,,1318,no_response,MC
INT000073,C00300,dealership,visit,2022-07-12 00:00:00,,1329,,SFDC
INT000074,C00195,dealership,chat,2023-04-14 00:00:00,,334,not_interested,MC
INT000075,C00044,app,call,2022-03-31 00:00:00,CAM006,499,not_interested,LEGACY
INT000076,C00152,email,chat,2022-03-24 00:00:00,CAM003,276,interested,SFDC
INT000077,C90001,email,email_click,2023-02-05 00:00:00,,300,not_interested,SFDC
INT000078,C00038,email,call,2022-07-03 00:00:00,,851,no_response,MC
INT000079,C00043,email,chat,2022-10-23 00:00:00,,108,interested,LEGACY
INT000080,C00138,phone,visit,2022-03-20 00:00:00,CAM018,-235,interested,MC
INT000081,C00079,phone,call,2022-04-22 00:00:00,CAM013,423,no_response,LEGACY
INT000082,C00195,dealership,call,2022-06-18 00:00:00,CAM006,329,interested,LEGACY
INT000083,C00079,dealership,email_click,2022-10-10 00:00:00,,903,interested,LEGACY
INT000084,C00200,app,email_click,2022-04-25 00:00:00,,66,interested,MC
INT000085,C00163,whatsapp,visit,2023-12-15 00:00:00,,-51,no_response,LEGACY
INT000086,C00185,dealership,visit,2022-06-01 00:00:00,,438,interested,MC
INT000087,C00055,email,call,2023-05-24 00:00:00,,216,no_response,MC
INT000088,C00047,dealership,email_open,2022-06-04 00:00:00,,1800,no_response,SFDC
INT000089,C00003,dealership,chat,2022-07-29 00:00:00,CAM020,134,,MC
INT000090,C00158,phone,call,2023-06-18 00:00:00,,808,no_response,LEGACY
INT000091,C00228,email,visit,2023-10-05 00:00:00,,864,not_interested,MC
INT000092,C00185,app,call,2022-01-24 00:00:00,,1105,not_interested,LEGACY
INT000093,C00139,app,email_click,2022-10-28 00:00:00,,657,,MC
INT000094,C00053,app,chat,2023-03-03 00:00:00,CAM005,1463,interested,MC
INT000095,C00068,dealership,call,2023-11-30 00:00:00,CAM007,1327,not_interested,LEGACY
INT000096,C00045,app,email_click,2023-07-09 00:00:00,CAM001,503,no_response,MC
INT000097,C00096,app,chat,2022-05-16 00:00:00,,484,not_interested,MC
INT000098,C00221,app,chat,2023-05-01 00:00:00,CAM001,718,,SFDC
INT000099,C00230,phone,email_open,2022-12-22 00:00:00,CAM005,902,,SFDC
INT000100,C00286,email,email_click,2023-03-07 00:00:00,,1011,interested,LEGACY
INT000101,C00285,phone,chat,2023-03-31 00:00:00,,155,not_interested,SFDC
INT000102,C00263,email,email_open,2024-01-26 00:00:00,,1074,,MC
INT000103,C00209,phone,email_open,2023-10-23 00:00:00,,904,,MC
INT000104,C00053,email,call,2022-01-22 00:00:00,CAM010,1348,no_response,MC
INT000105,C00014,app,visit,2022-10-26 00:00:00,,135,no_response,LEGACY
INT000106,C00046,whatsapp,visit,2022-07-13 00:00:00,CAM014,653,,MC
INT000107,C00182,app,chat,2022-03-06 00:00:00,CAM006,255,not_interested,LEGACY
INT000108,C00284,whatsapp,chat,2022-01-23 00:00:00,,581,interested,SFDC
INT000109,C00048,app,chat,2024-04-01 00:00:00,,774,no_response,SFDC
INT000110,C00306,phone,call,2022-08-26 00:00:00,,604,no_response,LEGACY
INT000111,C00307,whatsapp,email_open,2024-05-04 00:00:00,,748,interested,SFDC
INT000112,C00167,app,visit,2023-06-17 00:00:00,CAM015,1487,no_response,MC
INT000113,C00198,dealership,email_click,2023-10-23 00:00:00,,886,not_interested,LEGACY
INT000114,C00007,whatsapp,visit,2022-12-10 00:00:00,CAM019,535,not_interested,LEGACY
INT000115,C00150,email,email_open,2023-02-26 00:00:00,,685,interested,LEGACY
INT000116,C00212,phone,email_open,2023-08-16 00:00:00,,127,interested,SFDC
INT000117,C00199,app,email_click,2022-12-18 00:00:00,CAM004,402,,LEGACY
INT000118,C00044,app,call,2023-11-03 00:00:00,,113,interested,SFDC
INT000119,C00287,email,visit,2023-10-24 00:00:00,,31,not_interested,SFDC
INT000120,C00125,app,chat,2024-03-16 00:00:00,,136,interested,LEGACY
INT000121,C00293,app,call,2022-12-01 00:00:00,,1382,not_interested,MC
INT000122,C00267,email,chat,2023-05-13 00:00:00,,1555,,SFDC
INT000123,C00087,email,visit,2023-08-31 00:00:00,,688,,SFDC
INT000124,C00195,dealership,email_click,2023-11-13 00:00:00,,464,not_interested,MC
INT000125,C00087,dealership,call,2023-12-15 00:00:00,CAM016,614,,SFDC
INT000126,C00072,email,visit,2023-06-27 00:00:00,,996,interested,MC
INT000127,C00138,whatsapp,chat,2024-05-12 00:00:00,,603,no_response,MC
INT000128,C00155,whatsapp,visit,2023-07-16 00:00:00,,1272,not_interested,MC
INT000129,C00138,whatsapp,email_open,2023-04-01 00:00:00,,236,no_response,SFDC
INT000130,C00253,phone,email_open,2023-04-14 00:00:00,,912,no_response,MC
INT000131,C00075,dealership,visit,2022-11-08 00:00:00,,408,,SFDC
INT000132,C00033,whatsapp,chat,2023-08-04 00:00:00,CAM002,546,not_interested,LEGACY
INT000133,C00086,whatsapp,email_open,2022-05-16 00:00:00,,1036,interested,SFDC
INT000134,C00223,whatsapp,visit,2024-03-19 00:00:00,,774,not_interested,SFDC
INT000135,C00142,email,visit,2022-11-10 00:00:00,CAM003,714,not_interested,SFDC
INT000136,C00216,app,chat,2022-06-25 00:00:00,CAM014,653,no_response,MC
INT000137,C00154,phone,email_open,2024-03-19 00:00:00,,258,,MC
INT000138,C00248,app,chat,2022-09-24 00:00:00,CAM020,228,,SFDC
INT000139,C00040,dealership,chat,2022-08-21 00:00:00,,1400,not_interested,SFDC
INT000140,C00185,app,chat,2023-05-11 00:00:00,CAM014,57,,SFDC
INT000141,C00129,phone,email_open,2023-01-16 00:00:00,CAM010,1428,not_interested,SFDC
INT000142,C00127,whatsapp,email_open,2022-10-23 00:00:00,,1160,interested,MC
INT000143,C00254,whatsapp,call,2024-02-28 00:00:00,,1607,no_response,SFDC
INT000144,C00305,email,email_click,2024-05-15 00:00:00,,1795,,LEGACY
INT000145,C00101,email,visit,2022-02-18 00:00:00,,296,not_interested,SFDC
INT000146,C00235,phone,email_click,2022-06-01 00:00:00,,708,no_response,SFDC
INT000147,C00055,whatsapp,chat,2022-12-28 00:00:00,,768,interested,LEGACY
INT000148,C00070,app,call,2022-10-19 00:00:00,,1548,not_interested,LEGACY
INT000149,C00156,app,call,2023-04-12 00:00:00,,1688,,MC
INT000150,C00004,phone,visit,2022-06-20 00:00:00,,770,interested,SFDC
INT000151,C00203,email,visit,2023-09-26 00:00:00,,1551,interested,MC
INT000152,C00171,app,email_click,2022-06-14 00:00:00,,1624,not_interested,SFDC
INT000153,C00195,dealership,email_click,2023-12-30 00:00:00,,1236,interested,MC
INT000154,C00169,phone,email_open,2023-07-03 00:00:00,,1113,,SFDC
INT000155,C00226,dealership,email_click,2022-10-20 00:00:00,,1268,not_interested,MC
INT000156,C00172,dealership,email_click,2022-07-06 00:00:00,,791,no_response,LEGACY
INT000157,C00221,email,chat,2022-06-29 00:00:00,,517,interested,LEGACY
INT000158,C00305,whatsapp,call,2024-05-09 00:00:00,,1361,,MC
INT000159,C00070,phone,email_click,2023-12-27 00:00:00,,595,,LEGACY
INT000160,C00154,whatsapp,email_open,2023-12-11 00:00:00,,460,no_response,SFDC
INT000161,C00165,app,email_click,2023-11-14 00:00:00,CAM007,1226,no_response,MC
INT000162,C00309,app,chat,2024-03-24 00:00:00,CAM003,816,interested,LEGACY
INT000163,C00103,phone,visit,2022-06-07 00:00:00,,208,interested,MC
INT000164,C00246,email,chat,2022-06-15 00:00:00,CAM007,247,no_response,MC
INT000165,C00161,app,email_open,2022-09-01 00:00:00,CAM016,297,,LEGACY
INT000166,C00091,app,visit,2022-04-30 00:00:00,CAM014,1319,not_interested,SFDC
INT000167,C00204,whatsapp,call,2022-02-12 00:00:00,,1550,not_interested,SFDC
INT000168,C00164,app,email_open,2022-11-21 00:00:00,,-108,,MC
INT000169,C00150,email,email_open,2023-08-12 00:00:00,CAM018,276,,SFDC
INT000170,C00252,app,email_click,2022-05-10 00:00:00,CAM001,114,no_response,MC
INT000171,C00295,app,email_open,2023-03-28 00:00:00,,1231,interested,SFDC
INT000172,C00125,dealership,call,2022-09-24 00:00:00,CAM006,1370,,MC
INT000173,C00167,email,call,2023-01-14 00:00:00,CAM017,1704,no_response,MC
INT000174,C00193,app,call,2022-07-08 00:00:00,CAM003,420,no_response,MC
INT000175,C00144,email,email_open,2022-07-30 00:00:00,CAM004,425,interested,LEGACY
INT000176,C00202,email,chat,2023-07-30 00:00:00,,1473,interested,LEGACY
INT000177,C00187,app,email_open,2023-12-26 00:00:00,CAM008,942,,MC
INT000178,C00059,app,email_click,2022-02-05 00:00:00,,232,,LEGACY
INT000179,C00289,email,call,2023-11-13 00:00:00,,183,not_interested,MC
INT000180,C00103,whatsapp,email_click,2022-11-21 00:00:00,,1149,no_response,LEGACY
INT000181,C00304,whatsapp,call,2022-12-19 00:00:00,,1297,not_interested,SFDC
INT000182,C00280,email,email_click,2022-06-01 00:00:00,,732,,MC
INT000183,C00093,email,visit,2023-01-17 00:00:00,,647,not_interested,MC
INT000184,C00282,whatsapp,visit,2023-04-05 00:00:00,,1515,no_response,LEGACY
INT000185,C00014,whatsapp,call,2023-07-07 00:00:00,,1001,,LEGACY
INT000186,C00237,dealership,email_click,2022-06-16 00:00:00,,1588,,LEGACY
INT000187,C00108,whatsapp,email_open,2023-07-01 00:00:00,,443,interested,SFDC
INT000188,C00225,whatsapp,chat,2022-11-05 00:00:00,CAM002,1122,interested,SFDC
INT000189,C00150,phone,email_open,2022-05-05 00:00:00,,1506,not_interested,LEGACY
INT000190,C00036,app,email_open,2022-01-26 00:00:00,,344,interested,SFDC
INT000191,C00210,dealership,chat,2023-02-19 00:00:00,,119,not_interested,SFDC
INT000192,C00256,dealership,chat,2023-05-27 00:00:00,,291,interested,MC
INT000193,C00072,email,email_click,2024-02-26 00:00:00,CAM004,422,interested,MC
INT000194,C00156,phone,chat,2022-05-29 00:00:00,,886,interested,MC
INT000195,C00124,app,visit,2023-04-15 00:00:00,,1157,no_response,LEGACY
INT000196,C00130,dealership,chat,2022-11-24 00:00:00,,1487,not_interested,SFDC
INT000197,C00079,whatsapp,email_open,2022-06-09 00:00:00,CAM018,547,interested,LEGACY
INT000198,C00217,whatsapp,call,2022-01-05 00:00:00,CAM004,1585,interested,LEGACY
INT000199,C00194,whatsapp,visit,2024-01-27 00:00:00,CAM004,1777,no_response,MC
INT000200,C00038,app,chat,2023-07-14 00:00:00,,1762,not_interested,SFDC
INT000201,C00230,dealership,chat,2023-06-04 00:00:00,,1177,,LEGACY
INT000202,C00307,app,call,2022-12-06 00:00:00,CAM010,741,,SFDC
INT000203,C00246,email,email_click,2023-10-25 00:00:00,,779,,SFDC
INT000204,C00299,email,email_open,2023-12-24 00:00:00,,-13,interested,MC
INT000205,C00206,phone,call,2022-10-30 00:00:00,,1319,not_interested,SFDC
INT000206,C00274,email,email_click,2023-05-01 00:00:00,,1499,no_response,SFDC
INT000207,C00260,dealership,email_open,2022-10-24 00:00:00,CAM012,270,,SFDC
INT000208,C00215,dealership,chat,2024-02-12 00:00:00,CAM005,923,not_interested,MC
INT000209,C00279,dealership,email_click,2023-08-11 00:00:00,CAM007,168,not_interested,MC
INT000210,C00019,whatsapp,call,2023-11-14 00:00:00,,1018,not_interested,SFDC
INT000211,C00185,whatsapp,visit,2022-05-31 00:00:00,,888,no_response,MC
INT000212,C00275,dealership,call,2024-03-29 00:00:00,,1102,no_response,MC
INT000213,C00305,email,call,2023-08-02 00:00:00,CAM016,1061,no_response,LEGACY
INT000214,C00044,email,visit,2024-01-17 00:00:00,CAM017,1649,interested,SFDC
INT000215,C00056,phone,email_click,2023-03-29 00:00:00,CAM009,74,interested,MC
INT000216,C00128,app,email_click,2022-12-13 00:00:00,,371,not_interested,SFDC
INT000217,C00182,phone,call,2023-12-07 00:00:00,,1257,,MC
INT000218,C00086,app,call,2022-04-26 00:00:00,,591,no_response,MC
INT000219,C00314,email,email_click,2024-01-20 00:00:00,,1456,not_interested,MC
INT000220,C00023,dealership,visit,2023-05-06 00:00:00,CAM017,294,not_interested,LEGACY
INT000221,C00289,whatsapp,email_open,2022-02-11 00:00:00,,623,no_response,MC
INT000222,C00205,phone,visit,2022-05-23 00:00:00,CAM014,123,interested,SFDC
INT000223,C00170,phone,chat,2023-11-26 00:00:00,,1189,not_interested,MC
INT000224,C00221,email,call,2023-07-19 00:00:00,,154,not_interested,MC
INT000225,C00055,app,email_click,2022-04-30 00:00:00,,1656,no_response,SFDC
INT000226,C00006,phone,visit,2022-11-12 00:00:00,,1450,,SFDC
INT000227,C00051,app,chat,2022-01-26 00:00:00,,419,not_interested,MC
INT000228,C00133,phone,chat,2023-02-16 00:00:00,,1546,interested,LEGACY
INT000229,C00114,dealership,call,2023-09-25 00:00:00,CAM005,1698,,LEGACY
INT000230,C00262,email,email_open,2024-05-11 00:00:00,,844,,SFDC
INT000231,C00266,app,email_open,2022-08-14 00:00:00,,1043,no_response,MC
INT000232,C00286,email,chat,2023-04-02 00:00:00,,1432,interested,SFDC
INT000233,C00298,whatsapp,visit,2023-01-01 00:00:00,CAM011,1120,not_interested,MC
INT000234,C00295,email,chat,2022-04-05 00:00:00,CAM006,1081,no_response,LEGACY
INT000235,C00114,app,call,2022-12-01 00:00:00,,183,interested,LEGACY
INT000236,C00229,app,call,2022-02-26 00:00:00,,368,not_interested,SFDC
INT000237,C00192,whatsapp,email_open,2023-09-15 00:00:00,CAM005,926,interested,LEGACY
INT000238,C00201,whatsapp,chat,2023-10-19 00:00:00,,1567,no_response,MC
INT000239,C00238,phone,email_click,2022-07-19 00:00:00,CAM017,1073,,SFDC
INT000240,C00302,app,email_click,2023-08-21 00:00:00,,816,interested,SFDC
INT000241,C00257,email,visit,2023-06-24 00:00:00,,1181,,MC
INT000242,C00078,whatsapp,visit,2022-08-16 00:00:00,,1626,not_interested,SFDC
INT000243,C00177,email,email_open,2024-03-11 00:00:00,,829,,LEGACY
INT000244,C00013,whatsapp,call,2024-02-25 00:00:00,,850,interested,LEGACY
INT000245,C00248,app,email_click,2022-10-12 00:00:00,,1273,interested,MC
INT000246,C00054,whatsapp,email_click,2022-07-20 00:00:00,CAM012,586,interested,LEGACY
INT000247,C00152,app,email_click,2022-01-24 00:00:00,CAM009,453,no_response,MC
INT000248,C00213,whatsapp,email_click,2022-03-27 00:00:00,,406,not_interested,SFDC
INT000249,C00044,phone,email_open,2023-07-06 00:00:00,,37,not_interested,MC
INT000250,C00060,whatsapp,chat,2024-05-19 00:00:00,CAM013,357,not_interested,LEGACY
INT000251,C00073,phone,email_click,2023-04-02 00:00:00,,1201,interested,LEGACY
INT000252,C00179,phone,call,2023-11-25 00:00:00,CAM018,476,interested,MC
INT000253,C00160,email,email_click,2023-11-19 00:00:00,,1242,no_response,MC
INT000254,C00176,app,visit,2022-03-31 00:00:00,,1456,no_response,SFDC
INT000255,C00234,whatsapp,call,2023-06-09 00:00:00,,48,,MC
INT000256,C00106,whatsapp,chat,2023-02-08 00:00:00,CAM013,1649,,MC
INT000257,C00267,dealership,email_click,2022-07-19 00:00:00,,1080,no_response,MC
INT000258,C00248,whatsapp,email_open,2023-05-18 00:00:00,,962,no_response,LEGACY
INT000259,C00179,app,email_open,2022-11-22 00:00:00,CAM018,1061,,LEGACY
INT000260,C00244,app,email_click,2023-09-10 00:00:00,CAM005,1479,no_response,SFDC
INT000261,C00050,whatsapp,visit,2023-09-12 00:00:00,,1505,no_response,LEGACY
INT000262,C00225,phone,email_open,2023-06-08 00:00:00,,1105,,MC
INT000263,C00232,dealership,call,2022-02-27 00:00:00,CAM017,560,interested,LEGACY
INT000264,C00164,app,visit,2023-11-14 00:00:00,,651,no_response,MC
INT000265,C00035,dealership,chat,2023-01-05 00:00:00,,1775,no_response,MC
INT000266,C00154,dealership,chat,2023-02-12 00:00:00,,481,no_response,LEGACY
INT000267,C00023,app,email_open,2022-06-01 00:00:00,CAM001,636,,MC
INT000268,C00059,phone,visit,2024-01-04 00:00:00,,1480,interested,LEGACY
INT000269,C00012,phone,email_open,2024-05-24 00:00:00,,579,no_response,MC
INT000270,C00176,app,chat,2023-03-14 00:00:00,CAM010,1160,interested,SFDC
INT000271,C00056,whatsapp,email_open,2023-01-14 00:00:00,,273,not_interested,SFDC
INT000272,C00085,whatsapp,visit,2023-01-31 00:00:00,,380,,MC
INT000273,C00125,dealership,email_click,2023-01-17 00:00:00,CAM002,488,not_interested,LEGACY
INT000274,C00265,whatsapp,chat,2022-01-13 00:00:00,,123,not_interested,MC
INT000275,C00090,dealership,email_click,2022-10-19 00:00:00,CAM017,1122,no_response,LEGACY
INT000276,C00283,whatsapp,visit,2022-12-20 00:00:00,,517,,SFDC
INT000277,C00082,phone,chat,2022-12-26 00:00:00,CAM004,627,interested,SFDC
INT000278,C00170,phone,email_open,2022-11-12 00:00:00,,110,not_interested,SFDC
INT000279,C00287,phone,email_open,2023-04-02 00:00:00,,1339,,MC
INT000280,C00219,whatsapp,email_open,2023-07-29 00:00:00,CAM011,333,no_response,LEGACY
INT000281,C00237,dealership,chat,2022-03-31 00:00:00,,598,not_interested,LEGACY
INT000282,C00119,dealership,chat,2022-08-09 00:00:00,,302,interested,MC
INT000283,C00208,phone,email_open,2024-01-16 00:00:00,,583,not_interested,SFDC
INT000284,C00095,phone,email_open,2023-03-31 00:00:00,,1649,,LEGACY
INT000285,C00096,whatsapp,email_click,2024-01-30 00:00:00,,135,interested,LEGACY
INT000286,C00222,whatsapp,chat,2023-03-02 00:00:00,,1345,no_response,LEGACY
INT000287,C00203,dealership,email_open,2024-04-02 00:00:00,,539,,MC
INT000288,C00015,email,visit,2023-03-30 00:00:00,,1716,not_interested,MC
INT000289,C00315,dealership,email_open,2022-10-23 00:00:00,,460,no_response,SFDC
INT000290,C00102,whatsapp,chat,2022-06-17 00:00:00,CAM019,1124,no_response,MC
INT000291,C00231,app,email_open,2024-04-05 00:00:00,,267,no_response,MC
INT000292,C00304,whatsapp,email_click,2024-01-16 00:00:00,,32,,SFDC
INT000293,C00220,whatsapp,call,2023-03-11 00:00:00,,1358,,SFDC
INT000294,C00200,app,chat,2024-01-17 00:00:00,CAM011,741,no_response,MC
INT000295,C00003,whatsapp,chat,2023-03-01 00:00:00,,1325,no_response,MC
INT000296,C00110,dealership,call,2022-05-23 00:00:00,CAM012,1269,not_interested,MC
INT000297,C00106,app,email_open,2024-05-05 00:00:00,,785,interested,SFDC
INT000298,C00143,email,email_click,2023-08-25 00:00:00,CAM014,694,no_response,LEGACY
INT000299,C00033,whatsapp,email_open,2023-09-05 00:00:00,,200,interested,LEGACY
INT000300,C00296,email,call,2022-03-30 00:00:00,CAM002,1474,,MC
INT000301,C00053,email,email_click,2022-05-28 00:00:00,,1154,,MC
INT000302,C00275,app,visit,2022-08-01 00:00:00,CAM007,570,no_response,MC
INT000303,C00096,phone,visit,2022-11-07 00:00:00,,1508,no_response,MC
INT000304,C00188,email,email_click,2023-05-02 00:00:00,,303,interested,LEGACY
INT000305,C00167,email,visit,2023-06-22 00:00:00,,866,interested,MC
INT000306,C00101,phone,email_click,2022-12-10 00:00:00,,1282,,SFDC
INT000307,C00235,dealership,email_open,2022-03-09 00:00:00,,633,not_interested,LEGACY
INT000308,C00059,phone,email_open,2023-08-28 00:00:00,,694,,MC
INT000309,C00135,dealership,call,2024-02-14 00:00:00,CAM016,147,not_interested,SFDC
INT000310,C00251,dealership,email_open,2023-01-20 00:00:00,,1311,no_response,MC
INT000311,C00271,phone,email_open,2022-04-01 00:00:00,,1701,not_interested,MC
INT000312,C00161,email,call,2022-01-07 00:00:00,,51,no_response,MC
INT000313,C00306,dealership,chat,2023-02-24 00:00:00,,1717,,SFDC
INT000314,C00199,phone,chat,2023-10-17 00:00:00,,758,no_response,MC
INT000315,C00313,whatsapp,email_click,2022-10-07 00:00:00,,479,interested,MC
INT000316,C00201,email,chat,2023-03-01 00:00:00,CAM017,1526,no_response,MC
INT000317,C90002,dealership,chat,2022-06-29 00:00:00,CAM015,602,interested,LEGACY
INT000318,C00059,app,chat,2023-07-24 00:00:00,CAM017,391,,SFDC
INT000319,C00179,email,email_open,2023-04-19 00:00:00,,554,interested,LEGACY
INT000320,C00181,whatsapp,chat,2023-12-29 00:00:00,CAM007,62,not_interested,SFDC
INT000321,C00235,whatsapp,email_open,2023-08-05 00:00:00,,1130,no_response,MC
INT000322,C00089,phone,email_open,2024-02-13 00:00:00,CAM006,1376,interested,LEGACY
INT000323,C00153,whatsapp,call,2022-05-21 00:00:00,,1623,interested,SFDC
INT000324,C00315,app,email_click,2022-07-24 00:00:00,,1628,,LEGACY
INT000325,C00303,phone,call,2022-07-10 00:00:00,,1224,no_response,LEGACY
INT000326,C00044,whatsapp,visit,2024-05-02 00:00:00,,247,interested,MC
INT000327,C00069,dealership,email_open,2023-01-26 00:00:00,,1509,,SFDC
INT000328,C00161,email,chat,2022-10-24 00:00:00,CAM019,1557,no_response,SFDC
INT000329,C00061,app,chat,2023-07-22 00:00:00,CAM017,1439,interested,SFDC
INT000330,C00123,app,visit,2023-05-18 00:00:00,CAM012,812,interested,LEGACY
INT000331,C00157,app,email_click,2022-02-13 00:00:00,CAM012,1369,no_response,SFDC
INT000332,C00060,dealership,email_open,2024-04-22 00:00:00,CAM016,557,not_interested,SFDC
INT000333,C00094,whatsapp,visit,2024-04-26 00:00:00,CAM005,1312,no_response,LEGACY
INT000334,C00192,email,visit,2022-11-06 00:00:00,CAM019,1329,no_response,SFDC
INT000335,C00073,email,visit,2024-05-04 00:00:00,,1267,not_interested,LEGACY
INT000336,C00262,dealership,email_open,2023-08-23 00:00:00,,1158,interested,MC
INT000337,C00199,phone,email_open,2022-11-08 00:00:00,CAM010,452,no_response,MC
